Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;102.89260032416392;-0.002917749213552828;-0.05351186368236186;-1.0356812651868133e-12;-1.2300018050860877e-13;-0.014728101001727225;6.873822835839464e-14;0.035941081543294104;2.7202263424223397e-16;0.22974324779997926;0.007847999999992198;7.299958348697942e-5;2.717403388499535e-13
2.0;103.27775226534804;-0.002917749213552828;-0.05351186368236186;-1.035830736427468e-12;-1.2301404853167223e-13;-0.014728101001970625;6.872249297957876e-14;0.0337680859692358;2.720197085536323e-16;0.23197809313460804;0.007847999999992198;7.299958348697899e-5;2.717215679274334e-13
3.0;96.87565756215068;-0.002917749213552828;-0.05351186368236186;-1.943414089448754e-12;-1.937600285703084e-13;-0.014728101001727235;3.923009443533113e-14;0.03236830339666633;2.626589070706814e-16;0.23926270937372857;0.007847999999991532;6.813287193660639e-5;0.0
4.0;99.06777275328855;-0.002917749213552828;-0.05351186368236186;-1.5167167799244265e-12;-1.6354503522951928e-13;-0.014728101001727226;4.557597851253886e-14;0.03219499707753674;2.656422394711955e-16;0.23545858796852012;0.00784799999999176;6.813287193712423e-5;0.0
5.0;87.5427230887746;-0.002917749213552828;-0.05351186368236186;-0.0006029607534153192;-7.538716151431402e-13;-0.014728101001727223;2.4916458975743925e-14;0.03480125871085899;2.5087936985164047e-16;0.23857882286967882;0.007847999999990448;6.813287193417881e-5;0.0
6.0;92.30010322500316;-0.002917749213552828;-0.05351186368236186;-3.92866617403761e-12;-2.9008127806265787e-13;-0.014728101001727232;3.1284592757224604e-14;0.03590108778538396;2.57347427332839e-16;0.24240736763440116;0.007847999999991083;7.299958348444874e-5;0.0
7.0;116.25124911440705;-0.002917749213552828;-0.05351186368236186;-5.33304465012433e-13;-7.091054703642519e-14;-0.014728101001727235;0.0065074400552984635;0.03520786219513816;2.9161560315798434e-16;0.24426973856017284;0.007847999999993242;0.0010706612845807254;4.852341000506356e-13
8.0;117.50023533007156;-0.002917749213552828;-0.05351186368236186;-5.314777787832345e-13;-7.069872031174361e-14;-0.014728101001727233;0.015299999999420699;0.033021535229008504;2.917581820253406e-16;0.24267603801153897;0.007847999999993251;0.01166534303412372;4.878904856751949e-13
9.0;90.33958503151204;-0.002917749213552828;-0.05351186368236186;-1.1102242892532257e-11;-4.2324723168528e-13;-0.014728101001727239;2.7677794432572516e-14;0.03372809221132525;2.54017303154754e-16;0.24450787722119185;0.00784799999999077;0.05299287559388572;0.0
10.0;96.75063312289168;-0.002917749213552828;-0.05351186368236186;-0.02737191200162469;-0.013988568147347837;-0.014728101001727232;6.073490301354487e-14;0.03633435384465083;2.7034651779417055e-16;0.2308118220704568;0.007847999999992089;0.11293531720432094;0.0
11.0;66.95055477044328;-0.002917749213552828;-0.05351186368236186;-0.042206483226926925;-0.04754392028083734;-0.01472810100172723;0.0;0.03275491000198377;2.3601374224474057e-16;0.2241988800963477;0.007847999999988444;0.1676655843023502;0.0
12.0;52.56606562336363;-0.002917749213552828;-0.05351186368236186;-0.042206483227607124;-0.047543920281140045;-0.01472810100172723;0.0;0.032794903759888784;2.2126991189622416e-16;0.22579463407293085;0.007847999999985044;0.2025788809430206;0.0
13.0;53.091287137753945;-0.002917749213552828;-0.05351186368236186;-0.04220648322762854;-0.04754392028108762;-0.014728101001727221;0.0;0.03436132706012768;2.2029698697214654e-16;0.2226814905568244;0.007847999999984734;0.21488662118381008;0.0
14.0;51.487128567336015;-0.002917749213552828;-0.05351186368236186;-0.04220648322765076;-0.04754392028112384;-0.014728101001727232;0.0;0.03189504368406016;2.192143342846182e-16;0.22776361129686407;0.007847999999984367;0.2092072489010772;0.0
15.0;47.99786773882144;-0.002917749213552828;-0.05351186368236186;-0.042206483227705385;-0.0475439202811495;-0.01472810100172723;0.0;0.029728713701459953;2.1618065962634595e-16;0.24660657009450662;0.00784799999998323;0.18143818401455597;0.0
16.0;62.388024855318164;-0.002917749213552828;-0.05351186368236186;-0.04220648322734266;-0.04754392028100501;-0.014728101001727233;0.0;0.027482395993895004;2.295583406925978e-16;0.26084178271297914;0.007847999999987202;0.136217336701965;0.0
17.0;79.90384605109213;-0.002917749213552828;-0.05351186368236186;-0.03180471425766516;-0.02019847500164385;-0.014728101001727235;2.2313021684072195e-14;0.028808856642108905;2.472866834144818e-16;0.2608112521154185;0.007847999999990043;0.07650849452157461;0.0
18.0;112.64206936019512;-0.002917749213552828;-0.05351186368236186;-6.660501048891678e-13;-8.583212883626685e-14;-0.014728101001727237;0.008557158747988788;0.029455422778416757;2.834409563038762e-16;0.254692906940454;0.007847999999992854;0.024313748179572114;3.680392930711395e-13
19.0;138.41916838058276;-0.002917749213552828;-0.05351186368236186;-3.1644369992849e-13;-4.4423465654504466e-14;-0.014728101001727233;0.015299999999976813;0.030555251852942947;3.211781387413927e-16;0.25599351263390385;0.007847999999994294;0.0040636469327195645;0.017563658273562818
20.0;123.06409570432994;-0.002917749213552828;-0.05351186368236186;-4.4623393831873115e-13;-6.060732625914353e-14;-0.014728101001727221;0.015299999999938259;0.03381474531860572;2.9979891120460565e-16;0.2676379082724983;0.007847999999993582;0.00032606476999347245;8.43132432913952e-13
21.0;107.43847408910054;-0.002917749213552828;-0.05351186368236186;-8.152574738798553e-13;-1.0155981122471218e-13;-0.014728101001727232;1.1969316639719408e-13;0.03490790880166913;2.7754301927531176e-16;0.2763941037885246;0.007847999999992535;0.00022386546205243642;3.1178651495541965e-13
22.0;83.16457835140704;-0.002917749213552828;-0.05351186368236186;-0.004158661013257091;-0.0007802059626827395;-0.014728101001727233;0.0;0.03532117787740055;2.4512157442651157e-16;0.2823597948571111;0.007847999999989778;7.786629503041984e-5;0.0
23.0;77.67191840576541;-0.002917749213552828;-0.05351186368236186;-0.015660662829174846;-0.007178480644523884;-0.014728101001727242;0.0;0.0328682257888278;2.4073153101723297e-16;0.27666887916662175;0.007847999999989185;6.326616038255342e-5;0.0
24.0;76.16152642212604;-0.002917749213552828;-0.05351186368236186;-0.015104282070722702;-0.007889966471834018;-0.014728101001727228;0.0;0.030768552034550766;2.3819147983477916e-16;0.27781683187223144;0.007847999999988801;6.326616038172862e-5;0.0
25.0;99.76432842390791;-0.0023129937412769506;-0.05351186368230942;-2.1031967264516316e-12;-2.0876469498728498e-13;-0.0019426886074388906;4.507980647755922e-14;0.01333126166464812;2.7422781339103153e-16;0.2542899030525622;0.00784799999999066;0.0006277970719782858;0.0
26.0;107.07673570662598;-0.0023129937412769506;-0.05351186368230942;-1.1425561643217204e-12;-1.3471497883593294e-13;-0.0019426886074388886;0.004497197842660927;0.012151445074307503;2.8304252320584345e-16;0.24176622396694866;0.007847999999991376;0.0005888639244515417;3.0022502193454113e-13
27.0;125.69120028454455;-0.0023129937412769506;-0.05351186368230942;-5.413470815319596e-13;-7.242799051233408e-14;-0.0019426886074388912;0.015299999999900072;0.009845136729877252;3.0515610050644744e-16;0.2306958057997027;0.007847999999992692;0.00019466573762196634;0.012878471261484108
28.0;163.02929325741283;-0.0023129937412769506;-0.05351186368230942;-2.3221944709941896e-13;-3.3481733595613167e-14;-0.0019426886074388901;0.015299999999989274;0.0076721411558219816;3.661897045805719e-16;0.2200039670422914;0.007847999999994675;9.246642968816839e-5;0.017563658274113266
29.0;197.13280165293136;-0.0023129937412769506;-0.05351186368230942;-1.5035675355439986e-13;-2.217075104734447e-14;-0.0019426886074388908;0.015299999999996181;0.005399160977840953;4.2917189863145125e-16;0.2148931338241242;0.00784799999999576;9.246642969089625e-5;0.017563658274263826
30.0;211.0223198869771;-0.0023129937412769506;-0.05351186368230942;-1.311522748487027e-13;-1.9447392217010357e-14;-0.0019426886074388895;0.015299999999997533;0.00469926969155721;4.552879878842276e-16;0.2135864208926228;0.007847999999996094;0.00022386546206099798;0.01756365827428822
31.0;232.76367710395178;-0.0023129937412769506;-0.05351186368230942;-1.0892330458611448e-13;-1.6259583122863462e-14;-0.0019426886074388901;0.015299999999998998;0.004259338145409344;4.951828324908652e-16;0.2065277310754991;0.007847999999996535;0.0022337889988912774;0.017563658274313197
32.0;197.56639261977722;-0.0023129937412769506;-0.05351186368230942;-1.497217305788147e-13;-2.2081142523127873e-14;-0.0019426886074388895;0.015299999999996228;0.004219344282923036;4.2993476145535075e-16;0.19949346573642693;0.007847999999995772;0.03003692032138859;0.01756365827426468
33.0;98.26352399214463;-0.0023129937412769506;-0.05351186368230942;-2.710164663165703e-12;-2.446099836495305e-13;-0.0019426886074388897;3.998063670227877e-14;0.004819251069851077;2.7190181901027303e-16;0.18415485996239558;0.007847999999990446;0.10735327751797417;0.0
34.0;64.16635057962948;-0.0023129937412769506;-0.05351186368230942;-0.042206483225079576;-0.0327539435244845;-0.0019426886074388895;0.0;0.005939077127899394;2.4042192145358086e-16;0.16018828941920274;0.007847999999985578;0.1911082031016609;0.0
35.0;63.924500198100525;-0.0023129937412769506;-0.05351186368230942;-0.042206483227268596;-0.04754392028103381;-0.0019426886074388875;0.0;0.007118893822817662;2.4125443736593872e-16;0.14750585122623874;0.007847999999985786;0.25290970291521714;0.0
36.0;33.46799208832944;-0.0023129937412769506;-0.05351186368230942;-0.04220648322785294;-0.04754392028118456;-0.001942688607438889;0.0;0.007238875096523399;0.0;0.14959414857396677;0.007847999999966288;0.28548214399251104;0.0
37.0;19.11795053349659;-0.0023129937412769506;-0.05351186368230942;-0.042206483227925015;-0.04754392028119415;-0.0019426886074388901;0.0;0.007245540792526147;0.0;0.14923999252353082;0.00784799999990759;0.2929704600559047;0.0
38.0;26.50246522888556;-0.0023129937412769506;-0.05351186368230942;-0.042206483227891875;-0.04754392028121332;-0.0019426886074388914;0.0;0.008232054080229494;0.0;0.14567401201651828;0.007847999999951913;0.28385181850761887;0.0
39.0;64.24804721653314;-0.0023129937376741845;-0.053511863682309375;-0.04220648322724572;-0.04754392028099556;-0.001942688607438889;0.0;0.00852534188226945;2.4172275018217146e-16;0.14312775458676658;0.007847999999985901;0.24371661393183439;0.0
40.0;66.92868840340824;-0.0023129937376741845;-0.053511863682309375;-0.04069661951025525;-0.028382785900568384;-0.0019426886074388895;0.0;0.00973182104760162;2.4330412215304662e-16;0.1428957209267146;0.007847999999986269;0.18395423792440196;0.0
41.0;117.25315946248239;-0.0023129937376741845;-0.053511863682309375;-6.312556274550678e-13;-8.277281034760866e-14;-0.001942688607438892;0.015299999999720836;0.012678029936887011;2.990643810775751e-16;0.1446664989412494;0.00784799999999238;0.10583488476437265;4.843368688500395e-13
42.0;147.44345722588196;-0.0023129937376741845;-0.053511863682309375;-2.8178949238199964e-13;-4.0111278683777213e-14;-0.0019426886074388895;0.015299999999983828;0.024122918028891945;3.466294733977146e-16;0.16535407771300903;0.007847999999994195;0.03429036628021312;0.01756365827395213
43.0;129.72190641418197;-0.0023129937376741845;-0.053511863682309375;-3.859838346138684e-13;-5.354783748315172e-14;-0.0019426886074388888;0.015299999999966857;0.0361410505419919;3.228347017064163e-16;0.18882605257560273;0.00784799999999344;0.0070176988884628555;2.944918997982346e-12
44.0;93.87551668168862;-0.0023129937376741845;-0.053511863682309375;-0.00934319206669136;-1.180473656790012e-12;-0.0019426886074388916;4.910905410348796e-14;0.04818584552550332;2.7637849059346345e-16;0.21361084537066632;0.007847999999990848;0.002326254883718342;0.0
45.0;104.35690767777724;-0.0023129937376741845;-0.053511863682309375;-0.01583825188171999;-0.0036314827006075252;-0.00194268860743889;3.362202767243522e-13;0.05055881009825934;2.926472355536654e-16;0.2296943999624132;0.007847999999992016;0.0018298579338122951;3.9055091130181344e-13
46.0;105.40906495422257;-0.0023129937376741845;-0.053511863682309375;-0.01843625321402053;-0.011178426467969543;-0.0019426886074388886;5.492551557656255e-7;0.05048548806932512;2.9549690369871865e-16;0.2387986442907084;0.007847999999992182;0.0012166604515938737;4.27616753911966e-13
47.0;98.02100947251392;-0.0023129937376741845;-0.053511863682309375;-0.025182696479354203;-0.012308466972920692;-0.0019426886074388854;8.66600435370351e-14;0.044439760955170965;2.844725603909366e-16;0.2449902617812972;0.007847999999991478;0.0007835296620936758;3.111527655476366e-13
48.0;97.93106502541688;-0.002312993712234502;-0.05351186368230931;-0.02800207836677141;-0.028663952904343308;-0.0019426886074388903;1.303482016639541e-13;0.047559276268154566;2.88126124158011e-16;0.245869545228317;0.00784799999999173;0.0003406654494979906;3.426201875587489e-13
